bucket,metric,observed,summary_mean,summary_median,summary_min,perm_p95,perm_p99,perm_p_value,perm_n_actual,split_half_ceiling,sh_ci_low_alpha05,sh_ci_high_alpha05,in_split_half_ci_alpha05,calibrated_pass_p95_alpha05,calibrated_pass_p99_alpha05,n_perm,n_splits,note
monocyte,pearson,0.7012,0.7012,0.6919,0.5791,0.2921,0.4307,0.001,1000.0,0.7007,0.3628,0.9225,True,True,True,1000.0,50.0,
monocyte,spearman,0.6018,0.7012,0.6919,0.5791,0.2181,0.3263,0.001,1000.0,0.6212,0.2081,0.8686,True,True,True,1000.0,50.0,
monocyte,de_jaccard_top100,0.2478,0.7012,0.6919,0.5791,0.2499,0.2953,0.0539,1000.0,0.3025,0.1364,0.5625,True,False,False,1000.0,50.0,
monocyte,mmd_rbf,-0.0792,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
B,pearson,0.2971,0.2971,0.2392,0.0686,0.2341,0.3394,0.029,1000.0,0.6469,0.1504,0.916,True,True,False,1000.0,50.0,
B,spearman,0.2422,0.2971,0.2392,0.0686,0.2394,0.3505,0.05,1000.0,0.5658,0.0763,0.8708,True,True,False,1000.0,50.0,
B,de_jaccard_top100,0.1748,0.2971,0.2392,0.0686,0.1707,0.2001,0.04,1000.0,0.3477,0.1172,0.6807,True,True,False,1000.0,50.0,
B,mmd_rbf,-0.1125,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
NK,pearson,0.3845,0.3845,0.3523,0.1923,0.184,0.285,0.001,1000.0,0.6989,0.4422,0.9367,False,False,False,1000.0,50.0,
NK,spearman,0.2653,0.3845,0.3523,0.1923,0.1386,0.1986,0.003,1000.0,0.4925,0.165,0.8974,True,True,True,1000.0,50.0,
NK,de_jaccard_top100,0.189,0.3845,0.3523,0.1923,0.197,0.2318,0.0689,1000.0,0.4026,0.2121,0.6263,False,False,False,1000.0,50.0,
NK,mmd_rbf,-0.1163,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD4T,pearson,0.3214,0.3214,0.333,0.0078,0.1959,0.2909,0.006,1000.0,0.6522,0.2063,0.9337,True,True,True,1000.0,50.0,
CD4T,spearman,0.1852,0.3214,0.333,0.0078,0.1665,0.2497,0.039,1000.0,0.527,0.0281,0.9001,True,True,False,1000.0,50.0,
CD4T,de_jaccard_top100,0.2023,0.3214,0.333,0.0078,0.2,0.2266,0.045,1000.0,0.3749,0.1236,0.6667,True,True,False,1000.0,50.0,
CD4T,mmd_rbf,-0.1138,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD8T,pearson,0.1686,0.1686,0.1301,-0.0292,0.1692,0.2562,0.0519,1000.0,0.6343,0.1643,0.9313,True,False,False,1000.0,50.0,
CD8T,spearman,0.0856,0.1686,0.1301,-0.0292,0.1315,0.2042,0.1349,1000.0,0.4887,-0.0014,0.895,True,False,False,1000.0,50.0,
CD8T,de_jaccard_top100,0.1247,0.1686,0.1301,-0.0292,0.1734,0.1999,0.3357,1000.0,0.3475,0.1765,0.5876,False,False,False,1000.0,50.0,
CD8T,mmd_rbf,-0.144,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
