bucket,metric,observed,observed_ci_low,observed_ci_high,summary_mean,summary_median,summary_min,perm_p95,perm_p99,perm_p_value,perm_n_actual,split_half_ceiling,sh_ci_low_alpha05,sh_ci_high_alpha05,at_or_above_sh_ci_low,in_sh_ci_legacy,calibrated_pass_p95_corrected,calibrated_pass_p99_corrected,calibrated_pass_p99_legacy_in_ci,verdict_changed_vs_v1,n_perm,n_splits,n_bootstrap,fdr_corrected_p,calibrated_pass_p99_corrected_fdr,note
B,pearson,0.3511,0.199,0.412,0.3511,0.3082,0.0715,0.2486,0.3625,0.018,1000.0,0.6585,0.1102,0.9194,True,True,True,False,False,False,1000.0,50.0,200.0,0.0506,False,
B,spearman,0.3008,0.1198,0.2875,0.3511,0.3082,0.0715,0.2385,0.3682,0.029,1000.0,0.5932,0.0856,0.872,True,True,True,False,False,False,1000.0,50.0,200.0,0.0506,False,
B,de_jaccard_top100,0.1828,0.106,0.2251,0.3511,0.3082,0.0715,0.1743,0.2074,0.03,1000.0,0.3716,0.1111,0.7391,True,True,True,False,False,False,1000.0,50.0,200.0,0.0506,False,
B,mmd_rbf,-0.1084,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
T,pearson,0.2564,0.0837,0.3382,0.2564,0.2593,-0.0441,0.232,0.3516,0.04,1000.0,0.5818,0.0243,0.8982,True,True,True,False,False,False,1000.0,50.0,200.0,0.0506,False,
T,spearman,0.1888,0.0808,0.3022,0.2564,0.2593,-0.0441,0.1791,0.2671,0.045,1000.0,0.4902,0.0088,0.8508,True,True,True,False,False,False,1000.0,50.0,200.0,0.0506,False,
T,de_jaccard_top100,0.1625,0.1117,0.2104,0.2564,0.2593,-0.0441,0.2069,0.2413,0.2817,1000.0,0.311,0.0927,0.5751,True,True,False,False,False,False,1000.0,50.0,200.0,0.2817,False,
T,mmd_rbf,-0.0836,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
monocyte,pearson,0.7004,0.4114,0.7011,0.7004,0.685,0.6044,0.2844,0.4198,0.001,1000.0,0.6947,0.3294,0.9291,True,True,True,True,True,False,1000.0,50.0,200.0,0.0045,True,
monocyte,spearman,0.6342,0.3416,0.5958,0.7004,0.685,0.6044,0.2046,0.3332,0.001,1000.0,0.6067,0.2192,0.8751,True,True,True,True,True,False,1000.0,50.0,200.0,0.0045,True,
monocyte,de_jaccard_top100,0.2485,0.1354,0.297,0.7004,0.685,0.6044,0.2378,0.2769,0.037,1000.0,0.3045,0.1493,0.5273,True,True,True,False,False,False,1000.0,50.0,200.0,0.0506,False,
monocyte,mmd_rbf,-0.0672,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
