bucket,metric,observed,observed_ci_low,observed_ci_high,summary_mean,summary_median,summary_min,perm_p95,perm_p99,perm_p_value,perm_n_actual,split_half_ceiling,sh_ci_low_alpha05,sh_ci_high_alpha05,at_or_above_sh_ci_low,in_sh_ci_legacy,calibrated_pass_p95_corrected,calibrated_pass_p99_corrected,calibrated_pass_p99_legacy_in_ci,verdict_changed_vs_v1,n_perm,n_splits,n_bootstrap,fdr_corrected_p,calibrated_pass_p99_corrected_fdr,note
B,pearson,0.3092,0.1624,0.375,0.3092,0.295,0.0587,0.2528,0.3747,0.032,1000.0,0.6638,0.1175,0.9346,True,True,True,False,False,False,1000.0,50.0,200.0,0.0533,False,
B,spearman,0.2381,0.0853,0.2313,0.3092,0.295,0.0587,0.2292,0.3633,0.049,1000.0,0.5928,0.094,0.8949,True,True,True,False,False,False,1000.0,50.0,200.0,0.0735,False,
B,de_jaccard_top100,0.1632,0.1061,0.21,0.3092,0.295,0.0587,0.1679,0.2098,0.0689,1000.0,0.3778,0.111,0.7245,True,True,False,False,False,False,1000.0,50.0,200.0,0.083,False,
B,mmd_rbf,-0.1104,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD4T,pearson,0.258,0.1232,0.3463,0.258,0.2567,-0.0553,0.1857,0.3167,0.022,1000.0,0.6359,0.1709,0.9227,True,True,True,False,False,False,1000.0,50.0,200.0,0.0533,False,
CD4T,spearman,0.1885,0.0617,0.2819,0.258,0.2567,-0.0553,0.169,0.2254,0.029,1000.0,0.5163,0.0033,0.8908,True,True,True,False,False,False,1000.0,50.0,200.0,0.0533,False,
CD4T,de_jaccard_top100,0.169,0.1366,0.2291,0.258,0.2567,-0.0553,0.2118,0.2325,0.3117,1000.0,0.3219,0.1169,0.5504,True,True,False,False,False,False,1000.0,50.0,200.0,0.3117,False,
CD4T,mmd_rbf,-0.121,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD8T,pearson,0.2098,0.1261,0.3457,0.2098,0.1911,-0.0242,0.1704,0.2512,0.025,1000.0,0.6137,0.1813,0.8873,True,True,True,False,False,False,1000.0,50.0,200.0,0.0533,False,
CD8T,spearman,0.1092,0.0417,0.2501,0.2098,0.1911,-0.0242,0.1249,0.1778,0.0719,1000.0,0.4753,0.0769,0.8415,True,True,False,False,False,False,1000.0,50.0,200.0,0.083,False,
CD8T,de_jaccard_top100,0.1335,0.1045,0.2053,0.2098,0.1911,-0.0242,0.1661,0.2045,0.2408,1000.0,0.3118,0.1362,0.5504,False,False,False,False,False,False,1000.0,50.0,200.0,0.258,False,
CD8T,mmd_rbf,-0.119,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
NK,pearson,0.3728,0.158,0.3976,0.3728,0.2986,0.1814,0.1901,0.2761,0.003,1000.0,0.7074,0.4203,0.94,False,False,False,False,False,False,1000.0,50.0,200.0,0.0112,False,
NK,spearman,0.2713,0.1108,0.3578,0.3728,0.2986,0.1814,0.1255,0.192,0.002,1000.0,0.5294,0.1243,0.8999,True,True,True,True,True,False,1000.0,50.0,200.0,0.01,False,
NK,de_jaccard_top100,0.1913,0.1224,0.2201,0.3728,0.2986,0.1814,0.2033,0.2324,0.0719,1000.0,0.3854,0.1625,0.6393,True,True,False,False,False,False,1000.0,50.0,200.0,0.083,False,
NK,mmd_rbf,-0.1029,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
monocyte,pearson,0.6949,0.4116,0.7006,0.6949,0.68,0.5982,0.2822,0.4234,0.001,1000.0,0.6972,0.3382,0.9338,True,True,True,True,True,False,1000.0,50.0,200.0,0.0075,True,
monocyte,spearman,0.6317,0.3315,0.5943,0.6949,0.68,0.5982,0.195,0.3167,0.001,1000.0,0.6058,0.1945,0.8777,True,True,True,True,True,False,1000.0,50.0,200.0,0.0075,True,
monocyte,de_jaccard_top100,0.2481,0.1382,0.29,0.6949,0.68,0.5982,0.2338,0.2886,0.031,1000.0,0.316,0.1494,0.5507,True,True,True,False,False,False,1000.0,50.0,200.0,0.0533,False,
monocyte,mmd_rbf,-0.0699,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
