bucket,metric,observed,observed_ci_low,observed_ci_high,summary_mean,summary_median,summary_min,perm_p95,perm_p99,perm_p_value,perm_n_actual,split_half_ceiling,sh_ci_low_alpha05,sh_ci_high_alpha05,at_or_above_sh_ci_low,in_sh_ci_legacy,calibrated_pass_p95_corrected,calibrated_pass_p99_corrected,calibrated_pass_p99_legacy_in_ci,verdict_changed_vs_v1,n_perm,n_splits,n_bootstrap,fdr_corrected_p,calibrated_pass_p99_corrected_fdr,note
B_memory,pearson,0.2592,0.0822,0.3576,0.2592,0.2339,0.1557,0.1619,0.2333,0.005,1000.0,0.5163,0.1003,0.9207,True,True,True,True,True,False,1000.0,50.0,200.0,0.0225,False,
B_memory,spearman,0.2152,0.0442,0.328,0.2592,0.2339,0.1557,0.1399,0.1944,0.007,1000.0,0.4334,0.0728,0.8912,True,True,True,True,True,False,1000.0,50.0,200.0,0.028,False,
B_memory,de_jaccard_top100,0.1171,0.1065,0.2037,0.2592,0.2339,0.1557,0.1553,0.1798,0.3377,1000.0,0.2686,0.0581,0.551,True,True,False,False,False,False,1000.0,50.0,200.0,0.3799,False,
B_memory,mmd_rbf,-0.1029,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
B_naive,pearson,0.3125,0.1053,0.3333,0.3125,0.3403,-0.0094,0.1874,0.2706,0.005,1000.0,0.4785,0.1157,0.8608,True,True,True,True,True,False,1000.0,50.0,200.0,0.0225,False,
B_naive,spearman,0.2229,0.0641,0.2885,0.3125,0.3403,-0.0094,0.1507,0.2144,0.011,1000.0,0.3912,0.0047,0.834,True,True,True,True,True,False,1000.0,50.0,200.0,0.036,False,
B_naive,de_jaccard_top100,0.1719,0.1031,0.1983,0.3125,0.3403,-0.0094,0.2316,0.2641,0.3856,1000.0,0.2262,0.0695,0.4187,True,True,False,False,False,False,1000.0,50.0,200.0,0.4157,False,
B_naive,mmd_rbf,-0.0819,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD4T_em,pearson,0.1124,0.1221,0.5081,0.1124,0.0209,-0.1598,0.3154,0.4117,0.2687,1000.0,0.5858,0.1568,0.7945,False,False,False,False,False,False,1000.0,50.0,200.0,0.3329,False,
CD4T_em,spearman,0.1063,0.0419,0.4021,0.1124,0.0209,-0.1598,0.2438,0.3633,0.2238,1000.0,0.4653,0.0789,0.7145,True,True,False,False,False,False,1000.0,50.0,200.0,0.3223,False,
CD4T_em,de_jaccard_top100,0.0874,0.0861,0.2157,0.1124,0.0209,-0.1598,0.2329,0.2639,0.979,1000.0,0.286,0.0989,0.4184,False,False,False,False,False,False,1000.0,50.0,200.0,0.979,False,
CD4T_em,mmd_rbf,-0.1772,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD4T_naive_cm,pearson,0.2742,0.1414,0.3701,0.2742,0.2752,-0.0587,0.2058,0.3103,0.024,1000.0,0.6333,0.0563,0.9204,True,True,True,False,False,False,1000.0,50.0,200.0,0.054,False,
CD4T_naive_cm,spearman,0.2125,0.0819,0.2934,0.2742,0.2752,-0.0587,0.1582,0.2326,0.018,1000.0,0.5013,-0.0355,0.864,True,True,True,False,False,False,1000.0,50.0,200.0,0.0498,False,
CD4T_naive_cm,de_jaccard_top100,0.1934,0.1298,0.2217,0.2742,0.2752,-0.0587,0.2129,0.2452,0.1209,1000.0,0.3436,0.1236,0.6007,True,True,False,False,False,False,1000.0,50.0,200.0,0.1978,False,
CD4T_naive_cm,mmd_rbf,-0.1383,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD4T_treg,pearson,0.288,0.1141,0.3074,0.288,0.2842,0.1588,0.2361,0.3228,0.021,1000.0,0.6182,0.3772,0.9199,False,False,False,False,False,False,1000.0,50.0,200.0,0.054,False,
CD4T_treg,spearman,0.1643,0.0843,0.2433,0.288,0.2842,0.1588,0.1529,0.2212,0.04,1000.0,0.5566,0.3355,0.8739,False,False,False,False,False,False,1000.0,50.0,200.0,0.08,False,
CD4T_treg,de_jaccard_top100,0.1605,0.0726,0.183,0.288,0.2842,0.1588,0.1609,0.2027,0.0539,1000.0,0.3201,0.1173,0.5782,True,True,False,False,False,False,1000.0,50.0,200.0,0.1021,False,
CD4T_treg,mmd_rbf,-0.1516,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD8T_em_temra,pearson,0.2398,0.1561,0.3764,0.2398,0.2515,0.0239,0.1597,0.2463,0.013,1000.0,0.6554,0.3143,0.9438,False,False,False,False,False,False,1000.0,50.0,200.0,0.039,False,
CD8T_em_temra,spearman,0.1695,0.0892,0.297,0.2398,0.2515,0.0239,0.1161,0.1658,0.009,1000.0,0.4908,0.1465,0.8929,True,True,True,True,True,False,1000.0,50.0,200.0,0.0324,False,
CD8T_em_temra,de_jaccard_top100,0.1288,0.105,0.2089,0.2398,0.2515,0.0239,0.1725,0.1975,0.2867,1000.0,0.3489,0.1364,0.626,False,False,False,False,False,False,1000.0,50.0,200.0,0.3329,False,
CD8T_em_temra,mmd_rbf,-0.1561,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD8T_em_trm,pearson,0.1003,0.0415,0.3105,0.1003,-0.0807,-0.1274,0.2516,0.3323,0.2617,1000.0,0.5393,0.028,0.9443,True,True,False,False,False,False,1000.0,50.0,200.0,0.3329,False,
CD8T_em_trm,spearman,0.0402,0.0202,0.2973,0.1003,-0.0807,-0.1274,0.2739,0.3469,0.3926,1000.0,0.4591,0.0006,0.8966,True,True,False,False,False,False,1000.0,50.0,200.0,0.4157,False,
CD8T_em_trm,de_jaccard_top100,0.1279,0.1168,0.1848,0.1003,-0.0807,-0.1274,0.1646,0.1962,0.2807,1000.0,0.3389,0.1111,0.6949,True,True,False,False,False,False,1000.0,50.0,200.0,0.3329,False,
CD8T_em_trm,mmd_rbf,-0.1553,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD8T_mait,pearson,0.1221,-0.0602,0.0841,0.1221,0.1221,0.1221,0.1381,0.1775,0.0789,1000.0,0.4296,0.0155,0.7934,True,True,False,False,False,False,1000.0,50.0,200.0,0.142,False,
CD8T_mait,spearman,0.0974,-0.058,0.0797,0.1221,0.1221,0.1221,0.126,0.1649,0.1029,1000.0,0.3788,0.0011,0.7241,True,True,False,False,False,False,1000.0,50.0,200.0,0.1764,False,
CD8T_mait,de_jaccard_top100,0.0363,0.005,0.0417,0.1221,0.1221,0.1221,0.0526,0.0638,0.2687,1000.0,0.2088,0.0471,0.4137,False,False,False,False,False,False,1000.0,50.0,200.0,0.3329,False,
CD8T_mait,mmd_rbf,-0.4991,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
