bucket,metric,observed,summary_mean,summary_median,summary_min,perm_p95,perm_p99,perm_p_value,perm_n_actual,split_half_ceiling,sh_ci_low_alpha05,sh_ci_high_alpha05,in_split_half_ci_alpha05,calibrated_pass_p95_alpha05,calibrated_pass_p99_alpha05,n_perm,n_splits,note
monocyte,pearson,0.7249,0.7249,0.6744,0.6437,0.3169,0.4787,0.001,1000.0,0.7465,0.3459,0.9643,True,True,True,1000.0,50.0,
monocyte,spearman,0.6345,0.7249,0.6744,0.6437,0.2753,0.4159,0.001,1000.0,0.6939,0.3604,0.8965,True,True,True,1000.0,50.0,
monocyte,de_jaccard_top100,1.0,0.7249,0.6744,0.6437,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,True,True,True,1000.0,50.0,
monocyte,mmd_rbf,-0.0945,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
B,pearson,0.3561,0.3561,0.3266,-0.1533,0.3382,0.5021,0.046,1000.0,0.6529,-0.285,0.9808,True,True,False,1000.0,50.0,
B,spearman,0.3126,0.3561,0.3266,-0.1533,0.2132,0.336,0.015,1000.0,0.589,-0.2278,0.909,True,True,False,1000.0,50.0,
B,de_jaccard_top100,1.0,0.3561,0.3266,-0.1533,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,True,True,True,1000.0,50.0,
B,mmd_rbf,-0.1403,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
NK,pearson,0.3535,0.3535,0.3573,0.0806,0.2141,0.3204,0.007,1000.0,0.6462,-0.0292,0.971,True,True,True,1000.0,50.0,
NK,spearman,0.3703,0.3535,0.3573,0.0806,0.1983,0.313,0.003,1000.0,0.6225,0.0791,0.9585,True,True,True,1000.0,50.0,
NK,de_jaccard_top100,1.0,0.3535,0.3573,0.0806,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,True,True,True,1000.0,50.0,
NK,mmd_rbf,-0.1209,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD4T,pearson,0.3875,0.3875,0.3931,-0.0571,0.251,0.3867,0.011,1000.0,0.613,-0.0673,0.9609,True,True,True,1000.0,50.0,
CD4T,spearman,0.4245,0.3875,0.3931,-0.0571,0.2261,0.3474,0.005,1000.0,0.6167,-0.0291,0.9455,True,True,True,1000.0,50.0,
CD4T,de_jaccard_top100,1.0,0.3875,0.3931,-0.0571,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,True,True,True,1000.0,50.0,
CD4T,mmd_rbf,-0.0937,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
CD8T,pearson,0.2616,0.2616,0.2293,0.0938,0.2061,0.3392,0.031,1000.0,0.5341,-0.0451,0.9463,True,True,False,1000.0,50.0,
CD8T,spearman,0.2172,0.2616,0.2293,0.0938,0.1809,0.2704,0.027,1000.0,0.5303,0.0345,0.9441,True,True,False,1000.0,50.0,
CD8T,de_jaccard_top100,1.0,0.2616,0.2293,0.0938,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,True,True,True,1000.0,50.0,
CD8T,mmd_rbf,-0.1006,,,,,,,,,,,,,,,,observed_only_no_perm_null_v1_limitation
