bucket,metric,observed,observed_ci_low,observed_ci_high,summary_mean,summary_median,summary_min,perm_p95,perm_p99,perm_p_value,perm_n_actual,split_half_ceiling,sh_ci_low_alpha05,sh_ci_high_alpha05,at_or_above_sh_ci_low,in_sh_ci_legacy,calibrated_pass_p95_corrected,calibrated_pass_p99_corrected,calibrated_pass_p99_legacy_in_ci,verdict_changed_vs_v1,n_perm,n_splits,n_bootstrap,fdr_corrected_p,calibrated_pass_p99_corrected_fdr,note
monocyte,pearson,0.7249,0.428,0.7338,0.7249,0.6744,0.6437,0.3169,0.4787,0.001,1000.0,0.7465,0.3459,0.9643,True,True,True,True,True,False,1000.0,50.0,200.0,0.0075,True,
monocyte,spearman,0.6345,0.3663,0.664,0.7249,0.6744,0.6437,0.2753,0.4159,0.001,1000.0,0.6939,0.3604,0.8965,True,True,True,True,True,False,1000.0,50.0,200.0,0.0075,True,
monocyte,de_jaccard_top100,1.0,1.0,1.0,0.7249,0.6744,0.6437,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,True,True,True,True,True,False,1000.0,50.0,200.0,1.0,False,
monocyte,mmd_rbf,-0.0902,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
B,pearson,0.3561,0.1571,0.4123,0.3561,0.3266,-0.1533,0.3382,0.5021,0.046,1000.0,0.6529,-0.285,0.9808,True,True,True,False,False,False,1000.0,50.0,200.0,0.069,False,
B,spearman,0.3126,0.1658,0.3628,0.3561,0.3266,-0.1533,0.2132,0.336,0.015,1000.0,0.589,-0.2278,0.909,True,True,True,False,False,False,1000.0,50.0,200.0,0.0321,False,
B,de_jaccard_top100,1.0,1.0,1.0,0.3561,0.3266,-0.1533,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,True,True,True,True,True,False,1000.0,50.0,200.0,1.0,False,
B,mmd_rbf,-0.1502,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
NK,pearson,0.3535,0.1685,0.5194,0.3535,0.3573,0.0806,0.2141,0.3204,0.007,1000.0,0.6462,-0.0292,0.971,True,True,True,True,True,False,1000.0,50.0,200.0,0.021,False,
NK,spearman,0.3703,0.1863,0.5119,0.3535,0.3573,0.0806,0.1983,0.313,0.003,1000.0,0.6225,0.0791,0.9585,True,True,True,True,True,False,1000.0,50.0,200.0,0.015,False,
NK,de_jaccard_top100,1.0,1.0,1.0,0.3535,0.3573,0.0806,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,True,True,True,True,True,False,1000.0,50.0,200.0,1.0,False,
NK,mmd_rbf,-0.1178,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD4T,pearson,0.3875,0.1805,0.5265,0.3875,0.3931,-0.0571,0.251,0.3867,0.011,1000.0,0.613,-0.0673,0.9609,True,True,True,True,True,False,1000.0,50.0,200.0,0.0275,False,
CD4T,spearman,0.4245,0.2482,0.5474,0.3875,0.3931,-0.0571,0.2261,0.3474,0.005,1000.0,0.6167,-0.0291,0.9455,True,True,True,True,True,False,1000.0,50.0,200.0,0.0187,False,
CD4T,de_jaccard_top100,1.0,1.0,1.0,0.3875,0.3931,-0.0571,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,True,True,True,True,True,False,1000.0,50.0,200.0,1.0,False,
CD4T,mmd_rbf,-0.0973,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD8T,pearson,0.2616,0.1203,0.432,0.2616,0.2293,0.0938,0.2061,0.3392,0.031,1000.0,0.5341,-0.0451,0.9463,True,True,True,False,False,False,1000.0,50.0,200.0,0.0517,False,
CD8T,spearman,0.2172,0.1259,0.4051,0.2616,0.2293,0.0938,0.1809,0.2704,0.027,1000.0,0.5303,0.0345,0.9441,True,True,True,False,False,False,1000.0,50.0,200.0,0.0506,False,
CD8T,de_jaccard_top100,1.0,1.0,1.0,0.2616,0.2293,0.0938,1.0,1.0,1.0,1000.0,1.0,1.0,1.0,True,True,True,True,True,False,1000.0,50.0,200.0,1.0,False,
CD8T,mmd_rbf,-0.1005,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
