bucket,metric,observed,observed_ci_low,observed_ci_high,summary_mean,summary_median,summary_min,perm_p95,perm_p99,perm_p_value,perm_n_actual,split_half_ceiling,sh_ci_low_alpha05,sh_ci_high_alpha05,at_or_above_sh_ci_low,in_sh_ci_legacy,calibrated_pass_p95_corrected,calibrated_pass_p99_corrected,calibrated_pass_p99_legacy_in_ci,verdict_changed_vs_v1,n_perm,n_splits,n_bootstrap,fdr_corrected_p,calibrated_pass_p99_corrected_fdr,note
monocyte,pearson,0.7012,0.4177,0.6979,0.7012,0.6919,0.5791,0.2921,0.4307,0.001,1000.0,0.7007,0.3628,0.9225,True,True,True,True,True,False,1000.0,50.0,200.0,0.005,True,
monocyte,spearman,0.6018,0.3182,0.5799,0.7012,0.6919,0.5791,0.2181,0.3263,0.001,1000.0,0.6212,0.2081,0.8686,True,True,True,True,True,False,1000.0,50.0,200.0,0.005,True,
monocyte,de_jaccard_top100,0.2478,0.1386,0.2963,0.7012,0.6919,0.5791,0.2499,0.2953,0.0539,1000.0,0.3025,0.1364,0.5625,True,True,False,False,False,False,1000.0,50.0,200.0,0.0674,False,
monocyte,mmd_rbf,-0.0747,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
B,pearson,0.2971,0.155,0.3303,0.2971,0.2392,0.0686,0.2341,0.3394,0.029,1000.0,0.6469,0.1504,0.916,True,True,True,False,False,False,1000.0,50.0,200.0,0.0674,False,
B,spearman,0.2422,0.0705,0.2315,0.2971,0.2392,0.0686,0.2394,0.3505,0.05,1000.0,0.5658,0.0763,0.8708,True,True,True,False,False,False,1000.0,50.0,200.0,0.0674,False,
B,de_jaccard_top100,0.1748,0.1086,0.2108,0.2971,0.2392,0.0686,0.1707,0.2001,0.04,1000.0,0.3477,0.1172,0.6807,True,True,True,False,False,False,1000.0,50.0,200.0,0.0674,False,
B,mmd_rbf,-0.116,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
NK,pearson,0.3845,0.1971,0.4246,0.3845,0.3523,0.1923,0.184,0.285,0.001,1000.0,0.6989,0.4422,0.9367,False,False,False,False,False,False,1000.0,50.0,200.0,0.005,False,
NK,spearman,0.2653,0.0998,0.3614,0.3845,0.3523,0.1923,0.1386,0.1986,0.003,1000.0,0.4925,0.165,0.8974,True,True,True,True,True,False,1000.0,50.0,200.0,0.0112,False,
NK,de_jaccard_top100,0.189,0.1483,0.2494,0.3845,0.3523,0.1923,0.197,0.2318,0.0689,1000.0,0.4026,0.2121,0.6263,False,False,False,False,False,False,1000.0,50.0,200.0,0.0795,False,
NK,mmd_rbf,-0.1197,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD4T,pearson,0.3214,0.1888,0.4318,0.3214,0.333,0.0078,0.1959,0.2909,0.006,1000.0,0.6522,0.2063,0.9337,True,True,True,True,True,False,1000.0,50.0,200.0,0.018,False,
CD4T,spearman,0.1852,0.1057,0.3623,0.3214,0.333,0.0078,0.1665,0.2497,0.039,1000.0,0.527,0.0281,0.9001,True,True,True,False,False,False,1000.0,50.0,200.0,0.0674,False,
CD4T,de_jaccard_top100,0.2023,0.1603,0.2639,0.3214,0.333,0.0078,0.2,0.2266,0.045,1000.0,0.3749,0.1236,0.6667,True,True,True,False,False,False,1000.0,50.0,200.0,0.0674,False,
CD4T,mmd_rbf,-0.1132,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
CD8T,pearson,0.1686,0.0936,0.3033,0.1686,0.1301,-0.0292,0.1692,0.2562,0.0519,1000.0,0.6343,0.1643,0.9313,True,True,False,False,False,False,1000.0,50.0,200.0,0.0674,False,
CD8T,spearman,0.0856,0.0315,0.2145,0.1686,0.1301,-0.0292,0.1315,0.2042,0.1349,1000.0,0.4887,-0.0014,0.895,True,True,False,False,False,False,1000.0,50.0,200.0,0.1445,False,
CD8T,de_jaccard_top100,0.1247,0.1015,0.188,0.1686,0.1301,-0.0292,0.1734,0.1999,0.3357,1000.0,0.3475,0.1765,0.5876,False,False,False,False,False,False,1000.0,50.0,200.0,0.3357,False,
CD8T,mmd_rbf,-0.1413,,,,,,,,,,,,,,,,,,,,,,,False,observed_only_no_perm_null_v1_limitation
