bucket,metric,per_cell_type_observed_r,per_cell_type_null_p99,per_cell_type_split_half_ceiling,per_cell_type_calibrated_verdict_p99,global_observed_r,global_null_p99,global_split_half_ceiling,global_calibrated_verdict_p99,per_bucket_difference,diff_ci_low_alpha05,diff_ci_high_alpha05,difference_significant_alpha05
monocyte,pearson,0.7012,0.4307,0.7007,True,0.7249,0.4787,0.7465,True,-0.0237,-0.4919,0.4338,False
monocyte,spearman,0.6018,0.3263,0.6212,True,0.6345,0.4159,0.6939,True,-0.0327,-0.4167,0.3458,False
monocyte,de_jaccard_top100,0.2478,0.2953,0.3025,False,1.0,1.0,1.0,True,-0.7522,-0.9079,-0.7247,False
B,pearson,0.2971,0.3394,0.6469,False,0.3561,0.5021,0.6529,False,-0.059,-0.4667,0.3996,False
B,spearman,0.2422,0.3505,0.5658,False,0.3126,0.336,0.589,False,-0.0704,-0.2991,0.3562,False
B,de_jaccard_top100,0.1748,0.2001,0.3477,False,1.0,1.0,1.0,True,-0.8252,-0.9239,-0.8166,False
NK,pearson,0.3845,0.285,0.6989,False,0.3535,0.3204,0.6462,True,0.031,-0.3105,0.3052,False
NK,spearman,0.2653,0.1986,0.4925,True,0.3703,0.313,0.6225,True,-0.105,-0.2783,0.2462,False
NK,de_jaccard_top100,0.189,0.2318,0.4026,False,1.0,1.0,1.0,True,-0.811,-0.9174,-0.7783,False
CD4T,pearson,0.3214,0.2909,0.6522,True,0.3875,0.3867,0.613,True,-0.0661,-0.325,0.332,False
CD4T,spearman,0.1852,0.2497,0.527,False,0.4245,0.3474,0.6167,True,-0.2393,-0.2832,0.2958,False
CD4T,de_jaccard_top100,0.2023,0.2266,0.3749,False,1.0,1.0,1.0,True,-0.7977,-0.9163,-0.7887,False
CD8T,pearson,0.1686,0.2562,0.6343,False,0.2616,0.3392,0.5341,False,-0.093,-0.3089,0.2639,False
CD8T,spearman,0.0856,0.2042,0.4887,False,0.2172,0.2704,0.5303,False,-0.1316,-0.2576,0.2211,False
CD8T,de_jaccard_top100,0.1247,0.1999,0.3475,False,1.0,1.0,1.0,True,-0.8753,-0.9292,-0.8138,False
