cohort,bucket,n_common_genes,n_mvs_common,observed_r_full,observed_r_mvs,perm_p99_full,perm_p_value_full,perm_p99_mvs,perm_p_value_mvs,perm_n_actual,n_excluded_donors_low_count,perm_p95_full,ci_low_full,ci_high_full,ci_low_mvs,ci_high_mvs,n_bootstrap,fdr_corrected_p_mvs,calibrated_pass_p99_mvs_fdr
randolph_2021,B,3351,48,0.3009,0.4827,0.278,0.005,0.5903,0.0746,200,1.0,,,,,,,0.3173,False
randolph_2021,NK,3486,47,0.4808,0.5764,0.3725,0.005,0.6202,0.0348,200,1.0,,,,,,,0.3173,False
randolph_2021,monocyte,3456,57,0.2864,0.0126,0.2909,0.0199,0.3065,0.4925,200,1.0,,,,,,,0.5304,False
yoshida_2022,B,3968,48,0.1883,0.4359,0.4221,0.194,0.6502,0.1841,200,,0.3567,-0.0533,0.4656,-0.0382,0.5503,100.0,0.3173,False
yoshida_2022,CD4T,3940,57,0.0802,0.278,0.3993,0.3035,0.7513,0.2786,200,,0.3301,-0.1777,0.3222,-0.1616,0.6276,100.0,0.3799,False
yoshida_2022,CD8T,3952,61,0.108,0.3197,0.2978,0.2786,0.555,0.194,200,,0.2607,-0.1262,0.2561,0.0471,0.561,100.0,0.3173,False
yoshida_2022,NK,3954,47,0.1268,0.2822,0.3308,0.2537,0.635,0.204,200,,0.248,-0.1043,0.2608,0.0588,0.4742,100.0,0.3173,False
yoshida_2022,monocyte,3946,57,0.3871,0.591,0.4676,0.0597,0.6408,0.0697,200,,0.3912,-0.0559,0.5215,-0.0548,0.6771,100.0,0.3173,False
allen_atlas_monocyte,monocyte,3460,57,0.1523,-0.0102,0.3583,0.1741,0.5804,0.4925,200,,0.3116,-0.1644,0.3017,-0.4469,0.4197,100.0,0.5304,False
gse157829,B,2924,48,0.2628,0.5961,0.2937,0.4129,0.642,0.2985,200,,0.2937,0.0605,0.4566,0.2109,0.692,63.0,0.3799,False
gse157829,CD4T,3107,57,0.084,0.2572,0.1541,0.4478,0.2572,0.1343,200,,0.1541,0.0101,0.2351,0.155,0.4335,71.0,0.3173,False
gse157829,CD8T,3191,61,0.3827,0.6121,0.3827,0.1343,0.6121,0.1343,200,,0.3827,0.245,0.4719,0.4153,0.6731,72.0,0.3173,False
gse157829,NK,3210,47,0.1246,0.4163,0.2645,0.2935,0.4163,0.1443,200,,0.2645,0.0371,0.2072,0.285,0.5104,59.0,0.3173,False
gse157829,monocyte,3109,57,-0.0111,0.0405,0.3372,0.6842,0.5549,0.6959,170,,0.3372,-0.0606,0.0958,-0.3306,0.1087,69.0,0.6959,False
