cohort,bucket,n_common_genes,n_mvs_common,observed_r_full,observed_r_mvs,perm_p95_full,perm_p99_full,perm_p_value_full,perm_p99_mvs,perm_p_value_mvs,perm_n_actual,ci_low_full,ci_high_full,ci_low_mvs,ci_high_mvs,n_bootstrap,healthy_reference_bucket,n_excluded_donors_low_count,n_d_cells,n_h_cells,fdr_corrected_p_mvs,fdr_corrected_p_full,calibrated_pass_mvs_fdr_05,calibrated_pass_mvs_fdr_01
yoshida_2022,B,3968,48,0.1883,0.4359,0.3729,0.4236,0.2028,0.6661,0.2128,1000,-0.0674,0.4254,-0.0893,0.553,200.0,,,,,0.3192,0.3647,False,False
yoshida_2022,CD4T,3940,57,0.0802,0.278,0.3236,0.4134,0.3487,0.6983,0.2777,1000,-0.1605,0.2571,-0.1494,0.5519,200.0,,,,,0.3471,0.4359,False,False
yoshida_2022,CD8T,3952,61,0.108,0.3197,0.2401,0.3168,0.2527,0.586,0.1489,1000,-0.1019,0.2655,0.0614,0.511,200.0,,,,,0.2865,0.379,False,False
yoshida_2022,NK,3954,47,0.1268,0.2822,0.2643,0.3319,0.2188,0.6778,0.2038,1000,-0.1409,0.248,-0.0121,0.5072,200.0,,,,,0.3192,0.3647,False,False
yoshida_2022,monocyte,3946,57,0.3871,0.591,0.3688,0.4748,0.04,0.6498,0.0519,1000,-0.1025,0.5424,0.0174,0.6843,200.0,,,,,0.2595,0.12,False,False
allen_atlas_monocyte,monocyte,3460,57,0.1523,-0.0102,0.2906,0.366,0.2028,0.5699,0.5095,1000,-0.1129,0.3067,-0.5156,0.4153,200.0,,,,,0.5459,0.3647,False,False
gse157829,B,2924,48,0.2628,0.5961,0.2937,0.2937,0.4196,0.642,0.2627,1000,0.0495,0.4344,0.2186,0.6717,128.0,,,,,0.3471,0.4603,False,False
gse157829,CD4T,3107,57,0.084,0.2572,0.1541,0.1541,0.4296,0.2572,0.1359,1000,0.0209,0.4043,0.1568,0.5131,133.0,,,,,0.2865,0.4603,False,False
gse157829,CD8T,3191,61,0.3827,0.6121,0.3827,0.3827,0.1528,0.6121,0.1528,1000,0.1516,0.4524,0.3449,0.6609,131.0,,,,,0.2865,0.3647,False,False
gse157829,NK,3210,47,0.1246,0.4163,0.2645,0.2645,0.2787,0.4163,0.1259,1000,0.0004,0.2124,0.2455,0.5005,147.0,,,,,0.2865,0.38,False,False
gse157829,monocyte,3109,57,-0.0111,0.0405,0.3372,0.3372,0.6906,0.5549,0.6894,849,-0.0889,0.1253,-0.3377,0.1099,131.0,,,,,0.6894,0.6906,False,False
randolph_2021,B,3351,48,0.3009,0.4827,,0.287,0.005,0.5389,0.033,1000,,,,,,B,1.0,7883.0,5082.0,0.2475,0.025,False,False
randolph_2021,NK,3486,47,0.4808,0.5764,,0.413,0.001,0.6097,0.032,1000,,,,,,NK,1.0,3586.0,2146.0,0.2475,0.0075,False,False
randolph_2021,monocyte,3456,57,0.2864,0.0126,,0.2771,0.008,0.3123,0.4406,1000,,,,,,monocyte,1.0,5686.0,9785.0,0.5084,0.03,False,False
randolph_2021,monocyte_infected,3456,57,0.1289,-0.0113,,0.0147,0.001,-0.0012,0.0719,1000,,,,,,monocyte,1.0,4924.0,9785.0,0.2696,0.0075,False,False
