bucket,n_common_genes,n_mvs_common_genes,heldout_vs_training_r_full,heldout_vs_training_r_mvs,r_mvs_minus_r_full,cohort
B,366,0,0.2129,,,yoshida_2022
CD4T,270,0,0.2532,,,yoshida_2022
CD8T,249,0,0.3885,,,yoshida_2022
NK,234,0,0.1364,,,yoshida_2022
monocyte,268,0,0.5535,,,yoshida_2022
monocyte,3460,57,0.1523,-0.0102,-0.1625,allen_atlas_monocyte
B,2924,48,0.2628,0.5961,0.3333,gse157829
CD4T,3107,57,0.084,0.2572,0.1731,gse157829
CD8T,3191,61,0.3827,0.6121,0.2294,gse157829
NK,3210,47,0.1246,0.4163,0.2916,gse157829
monocyte,3109,57,-0.0111,0.0405,0.0516,gse157829
B,3351,48,0.3008,0.4829,0.182,randolph_2021
NK,3486,47,0.4808,0.5764,0.0956,randolph_2021
monocyte,3456,57,0.2865,0.0132,-0.2732,randolph_2021
