cohort,bucket,observed_r_mvs_n200,observed_r_mvs_n1000,ci_low_mvs_n200,ci_high_mvs_n200,ci_low_mvs_n1000,ci_high_mvs_n1000,perm_p_value_mvs_n200,perm_p_value_mvs_n1000,n_bootstrap_n200,n_bootstrap_n1000,r_mvs_change,ci_low_change,ci_high_change,ci_width_n200,ci_width_n1000,ci_width_change,notes
allen_atlas_monocyte,monocyte,-0.0102,-0.0102,-0.5156,0.4153,-0.4971,0.4426,0.5095,0.5095,200.0,1000.0,0.0,0.018,0.027,0.931,0.94,0.009,
gse157829,B,0.5961,0.5961,0.2186,0.6717,0.0848,0.6718,0.2627,0.2627,128.0,662.0,0.0,-0.134,0.0,0.453,0.587,0.134,
gse157829,CD4T,0.2572,0.2572,0.1568,0.5131,0.1406,0.4335,0.1359,0.1528,133.0,624.0,0.0,-0.016,-0.08,0.356,0.293,-0.063,
gse157829,CD8T,0.6121,0.6121,0.3449,0.6609,0.3449,0.6675,0.1528,0.1319,131.0,678.0,0.0,0.0,0.007,0.316,0.323,0.007,
gse157829,NK,0.4163,0.4163,0.2455,0.5005,0.2528,0.5005,0.1259,0.1638,147.0,641.0,0.0,0.007,0.0,0.255,0.248,-0.007,
gse157829,monocyte,0.0405,0.0405,-0.3377,0.1099,-0.3189,0.1225,0.6894,0.6472,131.0,678.0,0.0,0.019,0.013,0.448,0.441,-0.007,
yoshida_2022,B,0.4359,0.4359,-0.0893,0.553,-0.0893,0.5481,0.2128,0.2128,200.0,1000.0,0.0,0.0,-0.005,0.642,0.637,-0.005,
yoshida_2022,CD4T,0.278,0.278,-0.1494,0.5519,-0.1268,0.6157,0.2777,0.2687,200.0,1000.0,0.0,0.023,0.064,0.701,0.742,0.041,
yoshida_2022,CD8T,0.3197,0.3197,0.0614,0.511,0.0189,0.5783,0.1489,0.1668,200.0,1000.0,0.0,-0.042,0.067,0.45,0.559,0.109,
yoshida_2022,NK,0.2822,0.2822,-0.0121,0.5072,-0.002,0.5027,0.2038,0.2078,200.0,1000.0,0.0,0.01,-0.004,0.519,0.505,-0.014,
yoshida_2022,monocyte,0.591,0.591,0.0174,0.6843,-0.0639,0.6852,0.0519,0.0549,200.0,1000.0,0.0,-0.081,0.001,0.667,0.749,0.082,
randolph_2021,B,0.4827,0.4827,,,,,0.033,0.033,0.0,0.0,0.0,,,,,,Randolph paired protocol; no bootstrap CIs (permutation only at N=1000 from spec start)
randolph_2021,NK,0.5764,0.5764,,,,,0.032,0.032,0.0,0.0,0.0,,,,,,Randolph paired protocol; no bootstrap CIs (permutation only at N=1000 from spec start)
randolph_2021,monocyte,0.0126,0.0126,,,,,0.4406,0.4406,0.0,0.0,0.0,,,,,,Randolph paired protocol; no bootstrap CIs (permutation only at N=1000 from spec start)
randolph_2021,monocyte_infected,-0.0113,-0.0113,,,,,0.0719,0.0719,0.0,0.0,0.0,,,,,,Randolph paired protocol; no bootstrap CIs (permutation only at N=1000 from spec start)
