bucket,metric,observed,heuristic_threshold,exceeds_threshold
monocyte,pearson,0.7012,0.6,True
monocyte,spearman,0.6018,0.3,True
monocyte,de_jaccard_top100,0.2478,0.3,False
CD4T,pearson,0.3214,0.3,True
CD4T,spearman,0.1852,0.15,True
CD4T,de_jaccard_top100,0.2023,0.15,True
CD8T,pearson,0.1686,0.25,False
CD8T,spearman,0.0856,0.125,False
CD8T,de_jaccard_top100,0.1247,0.125,False
B,pearson,0.2971,0.4,False
B,spearman,0.2422,0.2,True
B,de_jaccard_top100,0.1748,0.2,False
NK,pearson,0.3845,0.35,True
NK,spearman,0.2653,0.175,True
NK,de_jaccard_top100,0.189,0.175,True
