cohort,bucket_pair,gene_set,observed_r,perm_p_raw,ci_low,ci_high,n_perm,n_bootstrap
wilk_2020,B_vs_CD4T,full,0.4252,0.008,0.2951,0.4766,500,200
wilk_2020,B_vs_CD4T,MVS,0.3874,0.1577,0.1849,0.5129,500,200
wilk_2020,B_vs_CD8T,full,0.4569,0.004,0.3283,0.494,500,200
wilk_2020,B_vs_CD8T,MVS,0.4635,0.1118,0.2546,0.5598,500,200
wilk_2020,B_vs_NK,full,0.4023,0.01,0.2912,0.4417,500,200
wilk_2020,B_vs_NK,MVS,0.3749,0.1138,0.2079,0.4947,500,200
wilk_2020,B_vs_monocyte,full,0.408,0.0319,0.3052,0.4468,500,200
wilk_2020,B_vs_monocyte,MVS,0.6111,0.0778,0.3101,0.7055,500,200
wilk_2020,CD4T_vs_CD8T,full,0.8289,0.002,0.5447,0.822,500,200
wilk_2020,CD4T_vs_CD8T,MVS,0.8439,0.02,0.3501,0.89,500,200
wilk_2020,CD4T_vs_NK,full,0.8163,0.002,0.5587,0.8124,500,200
wilk_2020,CD4T_vs_NK,MVS,0.822,0.0319,0.2221,0.8861,500,200
wilk_2020,CD4T_vs_monocyte,full,0.4815,0.0319,0.3224,0.5465,500,200
wilk_2020,CD4T_vs_monocyte,MVS,0.4197,0.1417,0.1556,0.5094,500,200
wilk_2020,CD8T_vs_NK,full,0.9112,0.002,0.6635,0.898,500,200
wilk_2020,CD8T_vs_NK,MVS,0.9431,0.004,0.619,0.9463,500,200
wilk_2020,CD8T_vs_monocyte,full,0.4784,0.022,0.3177,0.5266,500,200
wilk_2020,CD8T_vs_monocyte,MVS,0.4265,0.1257,0.1942,0.5194,500,200
wilk_2020,NK_vs_monocyte,full,0.4272,0.0399,0.2732,0.484,500,200
wilk_2020,NK_vs_monocyte,MVS,0.2744,0.2515,0.052,0.411,500,200
lee_2020,B_vs_CD4T,full,0.5751,0.004,0.0804,0.5839,500,200
lee_2020,B_vs_CD4T,MVS,0.7208,0.0399,0.1201,0.8348,500,200
lee_2020,B_vs_CD8T,full,0.5105,0.006,0.1066,0.5463,500,200
lee_2020,B_vs_CD8T,MVS,0.8987,0.002,0.2309,0.9079,500,200
lee_2020,B_vs_NK,full,0.474,0.006,0.1159,0.5192,500,200
lee_2020,B_vs_NK,MVS,0.8598,0.006,0.1239,0.9182,500,200
lee_2020,B_vs_monocyte,full,0.3733,0.006,0.1345,0.4364,500,200
lee_2020,B_vs_monocyte,MVS,0.4242,0.0719,-0.002,0.6464,500,200
lee_2020,CD4T_vs_CD8T,full,0.7039,0.004,0.2209,0.6899,500,200
lee_2020,CD4T_vs_CD8T,MVS,0.7077,0.0319,0.1881,0.7921,500,200
lee_2020,CD4T_vs_NK,full,0.6469,0.004,0.2294,0.6557,500,200
lee_2020,CD4T_vs_NK,MVS,0.5454,0.0798,0.1486,0.7103,500,200
lee_2020,CD4T_vs_monocyte,full,0.3566,0.008,0.1056,0.3849,500,200
lee_2020,CD4T_vs_monocyte,MVS,0.4303,0.0559,0.0409,0.5595,500,200
lee_2020,CD8T_vs_NK,full,0.8353,0.002,0.424,0.8093,500,200
lee_2020,CD8T_vs_NK,MVS,0.8916,0.004,0.3029,0.9268,500,200
lee_2020,CD8T_vs_monocyte,full,0.3981,0.006,0.1745,0.4224,500,200
lee_2020,CD8T_vs_monocyte,MVS,0.4276,0.0419,0.0461,0.6104,500,200
lee_2020,NK_vs_monocyte,full,0.3758,0.014,0.1639,0.4345,500,200
lee_2020,NK_vs_monocyte,MVS,0.2859,0.1577,-0.014,0.5264,500,200
arunachalam_2020,B_vs_CD4T,full,0.6164,0.006,0.3771,0.6572,500,200
arunachalam_2020,B_vs_CD4T,MVS,0.8979,0.022,0.2617,0.9411,500,200
arunachalam_2020,B_vs_CD8T,full,0.589,0.006,0.3038,0.6237,500,200
arunachalam_2020,B_vs_CD8T,MVS,0.8831,0.0259,0.2361,0.9253,500,200
arunachalam_2020,B_vs_NK,full,0.5646,0.008,0.3245,0.6165,500,200
arunachalam_2020,B_vs_NK,MVS,0.8145,0.0379,0.3011,0.8758,500,200
arunachalam_2020,B_vs_monocyte,full,0.5196,0.012,0.3182,0.5662,500,200
arunachalam_2020,B_vs_monocyte,MVS,0.576,0.0659,0.2339,0.7106,500,200
arunachalam_2020,CD4T_vs_CD8T,full,0.8744,0.002,0.495,0.8471,500,200
arunachalam_2020,CD4T_vs_CD8T,MVS,0.9036,0.012,0.3095,0.9363,500,200
arunachalam_2020,CD4T_vs_NK,full,0.7828,0.002,0.4893,0.7832,500,200
arunachalam_2020,CD4T_vs_NK,MVS,0.7819,0.0439,0.1978,0.87,500,200
arunachalam_2020,CD4T_vs_monocyte,full,0.5697,0.006,0.3236,0.6054,500,200
arunachalam_2020,CD4T_vs_monocyte,MVS,0.4765,0.1118,0.118,0.5728,500,200
arunachalam_2020,CD8T_vs_NK,full,0.8837,0.002,0.5481,0.8573,500,200
arunachalam_2020,CD8T_vs_NK,MVS,0.8802,0.014,0.4289,0.9045,500,200
arunachalam_2020,CD8T_vs_monocyte,full,0.6008,0.002,0.3279,0.6086,500,200
arunachalam_2020,CD8T_vs_monocyte,MVS,0.4494,0.1118,0.1199,0.5776,500,200
arunachalam_2020,NK_vs_monocyte,full,0.5857,0.002,0.3398,0.599,500,200
arunachalam_2020,NK_vs_monocyte,MVS,0.4972,0.0798,0.1776,0.5974,500,200
schulte_schrepping_2020,B_vs_CD4T,full,0.8639,0.002,0.8164,0.8701,500,200
schulte_schrepping_2020,B_vs_CD4T,MVS,0.9834,0.002,0.9578,0.9857,500,200
schulte_schrepping_2020,B_vs_CD8T,full,0.8286,0.002,0.7481,0.8465,500,200
schulte_schrepping_2020,B_vs_CD8T,MVS,0.9807,0.002,0.9544,0.985,500,200
schulte_schrepping_2020,B_vs_NK,full,0.7698,0.002,0.7082,0.7833,500,200
schulte_schrepping_2020,B_vs_NK,MVS,0.9706,0.002,0.9441,0.9786,500,200
schulte_schrepping_2020,B_vs_monocyte,full,0.4747,0.0319,0.368,0.5298,500,200
schulte_schrepping_2020,B_vs_monocyte,MVS,0.188,0.3852,-0.2216,0.4894,500,200
schulte_schrepping_2020,CD4T_vs_CD8T,full,0.9035,0.002,0.825,0.93,500,200
