bucket_pair,gene_set,n_cohorts_observed,mean_within_cohort_r,cross_study_harmonized_r,sign_concordance,magnitude_alignment
B_vs_CD4T,full,4,0.6201,0.5675,1.0,0.1238
B_vs_CD8T,full,4,0.5962,0.5625,1.0,0.1126
B_vs_NK,full,4,0.5527,0.5586,1.0,0.1145
B_vs_monocyte,full,4,0.4439,0.5116,1.0,0.0717
CD4T_vs_CD8T,full,4,0.8277,0.8876,1.0,0.0679
CD4T_vs_NK,full,4,0.7639,0.804,1.0,0.049
CD4T_vs_monocyte,full,4,0.4708,0.468,1.0,0.0585
CD8T_vs_NK,full,4,0.8909,0.8953,1.0,0.0314
CD8T_vs_monocyte,full,4,0.4888,0.4787,1.0,0.051
NK_vs_monocyte,full,4,0.4555,0.51,1.0,0.0924
B_vs_CD4T,MVS,4,0.7474,0.7014,1.0,0.203
B_vs_CD8T,MVS,4,0.8065,0.7081,1.0,0.2207
B_vs_NK,MVS,4,0.755,0.7198,1.0,0.2076
B_vs_monocyte,MVS,4,0.4498,0.5494,1.0,0.1437
CD4T_vs_CD8T,MVS,4,0.8547,0.8978,1.0,0.0789
CD4T_vs_NK,MVS,4,0.7714,0.8329,1.0,0.1132
CD4T_vs_monocyte,MVS,4,0.3849,0.4087,1.0,0.074
CD8T_vs_NK,MVS,4,0.9246,0.9324,1.0,0.0387
CD8T_vs_monocyte,MVS,4,0.355,0.2787,1.0,0.1574
NK_vs_monocyte,MVS,4,0.2941,0.3267,1.0,0.1178
