bucket,config_idx,n_latent,n_hidden,n_layers,r_full,r_mvs,n_genes_full,n_genes_mvs,wall_seconds,selected,calibrated,r_full_harmony,r_mvs_harmony,delta_r_full,delta_r_mvs,perm_p_mvs,ci_low_mvs,ci_high_mvs,n_perm
B,0,10,128,1,0.1652,0.1836,4000.0,48.0,439.7,False,False,,,,,,,,
B,1,10,128,2,0.1342,0.1504,4000.0,48.0,496.0,False,False,,,,,,,,
B,2,10,256,1,0.1533,0.2212,4000.0,48.0,439.8,False,False,,,,,,,,
B,3,10,256,2,0.1342,0.127,4000.0,48.0,462.2,False,False,,,,,,,,
B,4,20,128,1,0.162,0.1628,4000.0,48.0,456.0,False,False,,,,,,,,
B,5,20,128,2,0.1398,0.1944,4000.0,48.0,522.8,False,False,,,,,,,,
B,6,20,256,1,0.1339,0.1476,4000.0,48.0,422.4,False,False,,,,,,,,
B,7,20,256,2,0.1402,0.2134,4000.0,48.0,477.1,False,False,,,,,,,,
B,8,30,128,1,0.178,0.2275,4000.0,48.0,441.7,True,False,,,,,,,,
B,9,30,128,2,0.1439,0.1934,4000.0,48.0,526.8,False,False,,,,,,,,
B,10,30,256,1,0.1677,0.2081,4000.0,48.0,430.8,False,False,,,,,,,,
B,11,30,256,2,0.1362,0.206,4000.0,48.0,470.7,False,False,,,,,,,,
B,12,50,128,1,0.1633,0.1927,4000.0,48.0,466.2,False,False,,,,,,,,
B,13,50,128,2,0.1461,0.214,4000.0,48.0,495.8,False,False,,,,,,,,
B,14,50,256,1,0.1658,0.1916,4000.0,48.0,430.9,False,False,,,,,,,,
B,15,50,256,2,0.1353,0.1861,4000.0,48.0,497.3,False,False,,,,,,,,
B,8,30,128,1,0.178,0.2275,,,,True,True,0.2971,0.3587,-0.1192,-0.1312,0.0979,0.0397,0.3716,1000.0
