bucket,config_idx,n_latent,n_hidden,n_layers,r_full,r_mvs,n_genes_full,n_genes_mvs,wall_seconds,selected,calibrated,r_full_harmony,r_mvs_harmony,delta_r_full,delta_r_mvs,perm_p_mvs,ci_low_mvs,ci_high_mvs,n_perm
CD4T,0,10,128,1,0.1386,0.3372,4000.0,57.0,839.2,False,False,,,,,,,,
CD4T,1,10,128,2,0.1197,0.3456,4000.0,57.0,815.1,True,False,,,,,,,,
CD4T,2,10,256,1,0.1329,0.1886,4000.0,57.0,766.8,False,False,,,,,,,,
CD4T,3,10,256,2,0.1227,0.2525,4000.0,57.0,802.0,False,False,,,,,,,,
CD4T,4,20,128,1,0.1593,0.2908,4000.0,57.0,800.5,False,False,,,,,,,,
CD4T,5,20,128,2,0.1415,0.2592,4000.0,57.0,946.5,False,False,,,,,,,,
CD4T,6,20,256,1,0.146,0.2706,4000.0,57.0,778.8,False,False,,,,,,,,
CD4T,7,20,256,2,0.1462,0.26,4000.0,57.0,809.4,False,False,,,,,,,,
CD4T,8,30,128,1,0.1433,0.2537,4000.0,57.0,797.4,False,False,,,,,,,,
CD4T,9,30,128,2,0.1267,0.2112,4000.0,57.0,890.7,False,False,,,,,,,,
CD4T,10,30,256,1,0.1536,0.2976,4000.0,57.0,692.4,False,False,,,,,,,,
CD4T,11,30,256,2,0.1443,0.2155,4000.0,57.0,755.2,False,False,,,,,,,,
CD4T,12,50,128,1,0.1465,0.2522,4000.0,57.0,746.2,False,False,,,,,,,,
CD4T,13,50,128,2,0.1196,0.251,4000.0,57.0,837.4,False,False,,,,,,,,
CD4T,14,50,256,1,0.1638,0.2837,4000.0,57.0,690.5,False,False,,,,,,,,
CD4T,15,50,256,2,0.1422,0.2771,4000.0,57.0,791.5,False,False,,,,,,,,
CD4T,1,10,128,2,0.1197,0.3456,,,,True,True,0.3214,0.4818,-0.2017,-0.1362,0.008,0.1657,0.5119,1000.0
