bucket,config_idx,n_latent,n_hidden,n_layers,r_full,r_mvs,n_genes_full,n_genes_mvs,wall_seconds,selected,calibrated,r_full_harmony,r_mvs_harmony,delta_r_full,delta_r_mvs,perm_p_mvs,ci_low_mvs,ci_high_mvs,n_perm
NK,0,10,128,1,0.1443,0.3244,4000.0,47.0,569.1,False,False,,,,,,,,
NK,1,10,128,2,0.14,0.2876,4000.0,47.0,549.0,False,False,,,,,,,,
NK,2,10,256,1,0.1612,0.3168,4000.0,47.0,509.9,False,False,,,,,,,,
NK,3,10,256,2,0.1601,0.3299,4000.0,47.0,503.3,False,False,,,,,,,,
NK,4,20,128,1,0.1672,0.3081,4000.0,47.0,486.9,False,False,,,,,,,,
NK,5,20,128,2,0.1499,0.2783,4000.0,47.0,540.3,False,False,,,,,,,,
NK,6,20,256,1,0.1684,0.2747,4000.0,47.0,459.6,False,False,,,,,,,,
NK,7,20,256,2,0.169,0.2884,4000.0,47.0,518.8,False,False,,,,,,,,
NK,8,30,128,1,0.1682,0.2984,4000.0,47.0,508.7,False,False,,,,,,,,
NK,9,30,128,2,0.1565,0.2949,4000.0,47.0,552.7,False,False,,,,,,,,
NK,10,30,256,1,0.1871,0.3599,4000.0,47.0,465.6,True,False,,,,,,,,
NK,11,30,256,2,0.1699,0.3186,4000.0,47.0,515.5,False,False,,,,,,,,
NK,12,50,128,1,0.1815,0.2869,4000.0,47.0,496.3,False,False,,,,,,,,
NK,13,50,128,2,0.1547,0.3333,4000.0,47.0,560.9,False,False,,,,,,,,
NK,14,50,256,1,0.1846,0.3322,4000.0,47.0,463.3,False,False,,,,,,,,
NK,15,50,256,2,0.1695,0.2858,4000.0,47.0,516.6,False,False,,,,,,,,
NK,10,30,256,1,0.1871,0.3599,,,,True,True,0.3845,0.469,-0.1974,-0.109,0.011,0.196,0.5183,1000.0
