bucket,config_idx,n_latent,n_hidden,n_layers,r_full,r_mvs,n_genes_full,n_genes_mvs,wall_seconds,selected,calibrated,r_full_harmony,r_mvs_harmony,delta_r_full,delta_r_mvs,perm_p_mvs,ci_low_mvs,ci_high_mvs,n_perm
monocyte,0,10,128,1,0.3724,0.4244,4000.0,57.0,1323.4,False,False,,,,,,,,
monocyte,1,10,128,2,0.3249,0.3745,4000.0,57.0,1370.6,False,False,,,,,,,,
monocyte,2,10,256,1,0.3375,0.4331,4000.0,57.0,1190.8,False,False,,,,,,,,
monocyte,3,10,256,2,0.3113,0.4003,4000.0,57.0,1210.9,False,False,,,,,,,,
monocyte,4,20,128,1,0.3595,0.4507,4000.0,57.0,1320.6,True,False,,,,,,,,
monocyte,5,20,128,2,0.3343,0.4005,4000.0,57.0,1362.2,False,False,,,,,,,,
monocyte,6,20,256,1,0.348,0.4138,4000.0,57.0,1204.8,False,False,,,,,,,,
monocyte,7,20,256,2,0.3273,0.3806,4000.0,57.0,1180.8,False,False,,,,,,,,
monocyte,8,30,128,1,0.3532,0.4325,4000.0,57.0,1200.4,False,False,,,,,,,,
monocyte,9,30,128,2,0.3392,0.3868,4000.0,57.0,1327.8,False,False,,,,,,,,
monocyte,10,30,256,1,0.3444,0.4309,4000.0,57.0,1125.9,False,False,,,,,,,,
monocyte,11,30,256,2,0.3263,0.3801,4000.0,57.0,1236.3,False,False,,,,,,,,
monocyte,12,50,128,1,0.3748,0.4068,4000.0,57.0,1172.9,False,False,,,,,,,,
monocyte,13,50,128,2,0.3278,0.4007,4000.0,57.0,1327.9,False,False,,,,,,,,
monocyte,14,50,256,1,0.3602,0.4113,4000.0,57.0,1098.9,False,False,,,,,,,,
monocyte,15,50,256,2,0.333,0.3955,4000.0,57.0,1292.4,False,False,,,,,,,,
monocyte,4,20,128,1,0.3595,0.4507,,,,True,True,0.7012,0.6566,-0.3418,-0.2059,0.02,0.1785,0.5432,1000.0
